Référence Chantier;Code postal arrondissement - Commune;Date début du chantier;Date fin du chantier;Responsable du chantier;Maîtrise d'ouvrage principale;Surface (m2);Synthèse - Nature du chantier;Encombrement espace public;Impact stationnement;Identifiant demande CITE;Identifiant Chantier CITE;geo_shape;geo_point_2d
EC381955;75007;2024-03-14;2025-01-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;22.54;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;GIG_GIC;857566;249978;"{""coordinates"": [[[2.3239747537024256, 48.85531568447381], [2.323997163629878, 48.8553329329978], [2.324087843376453, 48.85527952892637], [2.3240650861006205, 48.85526237019065], [2.3239747537024256, 48.85531568447381]]], ""type"": ""Polygon""}";48.855297616545926, 2.32403124557537
EC385854;75009;2024-10-15;2025-02-28;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;36.54;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;860380;252317;"{""coordinates"": [[[2.3358769595410744, 48.87683385843039], [2.3361219368525186, 48.8768147258759], [2.33611456634983, 48.87679715423922], [2.335872015081483, 48.87681561674212], [2.3358769595410744, 48.87683385843039]]], ""type"": ""Polygon""}";48.87681539582202, 2.3359958411644604
EC387340;75015;2024-02-26;2024-12-13;Ville de Paris (Tvx sur espace ou édifice public);Direction de la Voirie et des Déplacements;4330.99;Aménagement de voirie (VdP*);EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;861263;253038;"{""coordinates"": [[[2.303738936494252, 48.83206310854469], [2.3044342747151583, 48.8329380671101], [2.3048274799267956, 48.832935798732244], [2.305451387797861, 48.83399703998995], [2.305396011635841, 48.834011518509676], [2.3055634727667, 48.8343859009922], [2.305670287337833, 48.834523135043995], [2.3058433459006693, 48.834477462943795], [2.3055915905581355, 48.83395800909044], [2.305443230275715, 48.833703274144106], [2.3049170293489167, 48.83281564375952], [2.3046216557223054, 48.83285263412299], [2.3039154528377632, 48.83201632159028], [2.303738936494252, 48.83206310854469]]], ""type"": ""Polygon""}";48.83321293972607, 2.3048755221559825
EC387345;75015;2024-02-26;2024-11-29;Ville de Paris (Tvx sur espace ou édifice public);Direction de la Voirie et des Déplacements;2198.39;Aménagement de voirie (VdP*);EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;861263;253038;"{""coordinates"": [[[2.3086479616230657, 48.83448619351767], [2.309302558729727, 48.83375909326301], [2.309031199324588, 48.83367555789544], [2.3083671882678196, 48.834332018580426], [2.3086479616230657, 48.83448619351767]]], ""type"": ""Polygon""}";48.834075253999615, 2.3088279683188304
EC387709;75013;2024-03-11;2024-10-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;10.27;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;861495;253240;"{""coordinates"": [[[2.350524486887392, 48.82670331821533], [2.3505835184009425, 48.826725952295774], [2.3505981940110203, 48.82671054924129], [2.350539168177298, 48.82668746011458], [2.350524486887392, 48.82670331821533]]], ""type"": ""Polygon""}";48.826706772276296, 2.3505612427559264
EC387791;75018;2024-03-04;2024-11-29;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;10.15;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;857778;250153;"{""coordinates"": [[[2.350305469198416, 48.893754455918156], [2.3503176930724377, 48.8937709150606], [2.3503779635318165, 48.893755759317564], [2.3503685227180013, 48.893737494153676], [2.350305469198416, 48.893754455918156]]], ""type"": ""Polygon""}";48.89375450550485, 2.350342638163916
EC389320;75013;2024-03-05;2024-10-31;Ville de Paris (Tvx sur espace ou édifice public);Direction de la Voirie et des Déplacements;2193.73;Aménagement de voirie (VdP*);EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;862504;254074;"{""coordinates"": [[[2.3508713798898992, 48.82202457800065], [2.3508551471178816, 48.82199898888453], [2.3506175437465657, 48.82202866441932], [2.350313285180533, 48.82209440850599], [2.3502520125609214, 48.82214143509384], [2.3502620469349496, 48.82222163688178], [2.352560141607377, 48.82220313506339], [2.352530999056159, 48.82210643704592], [2.3509143116535234, 48.82212135219583], [2.3508713798898992, 48.82202457800065]]], ""type"": ""Polygon""}";48.82214865397163, 2.3512658122365093
EC390264;75018;2024-04-08;2024-12-15;Opérateurs de réseau (gaz-électricité-RATP-etc);CPCU;50.64;Travaux sur réseau de chauffage urbain;EMPRISE_TROTTOIR;;863098;254555;"{""coordinates"": [[[2.3351142707175656, 48.89481560206531], [2.335316746504779, 48.89485952837397], [2.3353329771673543, 48.8948322979696], [2.335128431179806, 48.89478835929369], [2.3351142707175656, 48.89481560206531]]], ""type"": ""Polygon""}";48.89482397838017, 2.3352233594115908
EC390690;75009;2024-03-25;2024-11-29;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;19.14;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;863437;254818;"{""coordinates"": [[[2.3342957174216235, 48.88132270638764], [2.3343188705530733, 48.88133074385956], [2.334382027555099, 48.881251048100495], [2.3343596059481495, 48.88124253536293], [2.3342957174216235, 48.88132270638764]]], ""type"": ""Polygon""}";48.88128683373409, 2.334338977922119
EC391177;75008;2024-03-26;2025-01-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;87.84;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;863790;255116;"{""coordinates"": [[[2.3105185528151484, 48.86624052967272], [2.31052220980059, 48.866172793007955], [2.3103621151787186, 48.86617004944999], [2.310360118955807, 48.866237431445136], [2.3105185528151484, 48.86624052967272]]], ""type"": ""Polygon""}";48.86620514414215, 2.3104408272203067
EC395735;75011;2024-09-16;2024-12-20;Opérateurs de réseau (gaz-électricité-RATP-etc);CPCU;68.98;Travaux sur réseau de chauffage urbain;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;867606;258075;"{""coordinates"": [[[2.3763121260699362, 48.85143654063949], [2.376291099539269, 48.851463752482935], [2.376382322052691, 48.85162512492925], [2.3764192388050844, 48.85161545143201], [2.3764446102128036, 48.851609512125684], [2.3764222369893124, 48.851557027998794], [2.3763865248969593, 48.851562154351576], [2.3763121260699362, 48.85143654063949]]], ""type"": ""Polygon""}";48.85154702252903, 2.3763660192656184
EC397437;75014;2024-05-13;2024-11-10;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;22.72;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;869064;259231;"{""coordinates"": [[[2.3329601708850793, 48.83041042143758], [2.332968120278571, 48.830274307720714], [2.3329476139801173, 48.83027316896269], [2.3329399988627744, 48.830410195608984], [2.3329601708850793, 48.83041042143758]]], ""type"": ""Polygon""}";48.83034180731575, 2.332953977125823
EC398725;75009;2024-06-05;2024-11-08;Opérateurs de réseau (gaz-électricité-RATP-etc);ORANGE;10.98;Travaux sur réseau télécom;EMPRISE_TROTTOIR;;870217;260133;"{""coordinates"": [[[2.3430429871249205, 48.874000763967764], [2.343055199691919, 48.87401767918803], [2.3431235317884935, 48.87401850924643], [2.3431344433836285, 48.874001720927794], [2.3430429871249205, 48.874000763967764]]], ""type"": ""Polygon""}";48.87400926236782, 2.343089076863645
EC398749;75001;2024-10-21;2024-11-29;Ville de Paris (Tvx sur espace ou édifice public);Direction de la Voirie et des Déplacements;263.35;Aménagement de voirie (VdP*);EMPRISE_CHAUSSEE;;870247;260155;"{""coordinates"": [[[2.348124267885221, 48.86021864474716], [2.348117844551887, 48.86018035956071], [2.3474227575929385, 48.86024487581891], [2.3474386584001845, 48.86029778486974], [2.348124267885221, 48.86021864474716]]], ""type"": ""Polygon""}";48.86023738286819, 2.3477566687405558
EC399655;75012;2024-05-31;2024-12-20;Opérateurs de réseau (gaz-électricité-RATP-etc);EAU DE PARIS;130.18;Travaux sur réseau d'eau;EMPRISE_CHAUSSEE;;871053;260780;"{""coordinates"": [[[2.394158043794142, 48.840829206549394], [2.3942205748898786, 48.84083073736049], [2.394540422619702, 48.840536061531914], [2.394515297099253, 48.84052136292365], [2.394158043794142, 48.840829206549394]]], ""type"": ""Polygon""}";48.84069002422953, 2.39434633659276
EC400645;75009;2024-09-23;2024-12-15;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;65.07;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;871815;261367;"{""coordinates"": [[[2.3320793683835, 48.875791472612576], [2.3321916631933948, 48.87554598370172], [2.3321545615206185, 48.875550663718535], [2.332054762700862, 48.87577221000935], [2.3320793683835, 48.875791472612576]]], ""type"": ""Polygon""}";48.87566422128283, 2.3321207761908975
EC401020;75014;2024-06-10;2024-11-01;Tiers (travaux sur bâtiment);PERSONNE PHYSIQUE;10.05;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;871996;261499;"{""coordinates"": [[[2.3342922886600834, 48.829917884253874], [2.3342799399387673, 48.829934209313365], [2.3343381284451548, 48.82995784857634], [2.3343499241249717, 48.82994152043317], [2.3342922886600834, 48.829917884253874]]], ""type"": ""Polygon""}";48.829937855031005, 2.3343150123266967
EC401226;75015;2024-09-16;2024-11-29;Opérateurs de réseau (gaz-électricité-RATP-etc);ENEDIS;49.63;Travaux sur réseau électrique;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;872372;261797;"{""coordinates"": [[[2.2851824463611594, 48.83085089747911], [2.2851948292344053, 48.830842065841935], [2.28468268362939, 48.83054351205349], [2.2846777118847967, 48.83054833986241], [2.2851824463611594, 48.83085089747911]]], ""type"": ""Polygon""}";48.830713762749525, 2.2849641260512454
EC401514;75011;2024-06-10;2024-12-27;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;33.02;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;846543;240937;"{""coordinates"": [[[2.3727774535403943, 48.86416142615782], [2.3727634628021486, 48.8641770175928], [2.3729485745875682, 48.864257038067194], [2.3729647646421235, 48.864242187501866], [2.3727774535403943, 48.86416142615782]]], ""type"": ""Polygon""}";48.864209467633344, 2.37286372670238
EC401578;75004;2024-09-16;2024-11-15;Opérateurs de réseau (gaz-électricité-RATP-etc);GRDF;1.3;Travaux sur réseau de gaz;EMPRISE_TROTTOIR;;872649;262035;"{""coordinates"": [[[2.363705843223393, 48.85250992756577], [2.3637180226551417, 48.852501454771826], [2.3637103439258325, 48.852494583348616], [2.363697322726836, 48.852501344692605], [2.363705843223393, 48.85250992756577]]], ""type"": ""Polygon""}";48.8525019690264, 2.363707729668416
EC402031;75005;2024-09-02;2025-03-31;Ville de Paris (Tvx sur espace ou édifice public);Ville de Paris (autres);9.39;Travaux sur édifice public (VdP*);EMPRISE_TROTTOIR;;873035;262346;"{""coordinates"": [[[2.3509400854077, 48.849439688614495], [2.3509406728233406, 48.84944788854151], [2.3510732167767165, 48.84944268793677], [2.351072640673428, 48.84943357792249], [2.3509400854077, 48.849439688614495]]], ""type"": ""Polygon""}";48.84944091096991, 2.35100781144575
EC402117;75014;2024-09-09;2024-12-13;Opérateurs de réseau (gaz-électricité-RATP-etc);ENEDIS;3.21;Travaux sur réseau électrique;EMPRISE_TROTTOIR;;873138;262420;"{""coordinates"": [[[2.3252903039701533, 48.83226769298277], [2.3252832480241263, 48.83227994851142], [2.325309380137019, 48.832286015602875], [2.3253178395558307, 48.83227194675876], [2.3252903039701533, 48.83226769298277]]], ""type"": ""Polygon""}";48.8322764498088, 2.3253005180557613
EC402130;75005;2024-07-22;2024-11-08;Opérateurs de réseau (gaz-électricité-RATP-etc);CPCU;21.78;Travaux sur réseau de chauffage urbain;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;873146;262427;"{""coordinates"": [[[2.350908049879111, 48.84353608512593], [2.3509105834598674, 48.84355431364791], [2.351047314069794, 48.843544126396125], [2.3510427391501185, 48.84352361051871], [2.350908049879111, 48.84353608512593]]], ""type"": ""Polygon""}";48.843539434930996, 2.350978588296368
EC402854;75009;2024-06-17;2024-10-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;7.43;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;873732;262910;"{""coordinates"": [[[2.335093504638692, 48.878434535873296], [2.3350213788938228, 48.87846009096523], [2.3350288496303744, 48.87846969509201], [2.3351016608123314, 48.87844459976559], [2.335093504638692, 48.878434535873296]]], ""type"": ""Polygon""}";48.87845211579753, 2.335061686858589
EC402878;75011;2024-09-16;2024-11-02;Opérateurs de réseau (gaz-électricité-RATP-etc);ENEDIS;17.51;Travaux sur réseau électrique;EMPRISE_TROTTOIR;;873765;262929;"{""coordinates"": [[[2.3809277521247223, 48.85718046770903], [2.380969469540434, 48.857154272369485], [2.3809947632935655, 48.85717443978976], [2.381007270945942, 48.857167217971664], [2.380952499801874, 48.85713050564598], [2.3809017417324823, 48.85716257371633], [2.3809277521247223, 48.85718046770903]]], ""type"": ""Polygon""}";48.85715654322615, 2.380949047427186
EC402886;75018;2024-10-14;2024-12-20;Ville de Paris (Tvx sur espace ou édifice public);Direction de la Voirie et des Déplacements;833.03;Aménagement de voirie (VdP*);EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;873774;262934;"{""coordinates"": [[[2.355308770029485, 48.8843547720707], [2.3551906364431385, 48.88436005528874], [2.3542633949119387, 48.88452353992062], [2.35427273379075, 48.8845500008601], [2.354310572207951, 48.88461668686308], [2.354417938067838, 48.884644586519386], [2.3544277737751242, 48.88463097965815], [2.354432424339794, 48.88459002234932], [2.3553389200916643, 48.884429157772615], [2.355308770029485, 48.8843547720707]]], ""type"": ""Polygon""}";48.88448256410015, 2.3547825897008305
EC402928;75015;2024-09-16;2024-10-31;Opérateurs de réseau (gaz-électricité-RATP-etc);ENEDIS;19.0;Travaux sur réseau électrique;EMPRISE_TROTTOIR;;873810;262963;"{""coordinates"": [[[2.298128921037556, 48.84278884370962], [2.2981768372781777, 48.842611984476726], [2.298163057982831, 48.84261053749703], [2.298117218779837, 48.84278695383133], [2.298128921037556, 48.84278884370962]]], ""type"": ""Polygon""}";48.84269739258863, 2.2981470935493338
EC402973;75004;2024-09-15;2025-03-15;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;37.45;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;873796;262985;"{""coordinates"": [[[2.365094820132379, 48.84952463279063], [2.3651021074325005, 48.849546609444374], [2.36529721134951, 48.849506353389344], [2.3652905798325676, 48.849484233631024], [2.365094820132379, 48.84952463279063]]], ""type"": ""Polygon""}";48.84951545001308, 2.365196183131132
EC402983;75013;2024-07-08;2024-11-29;Opérateurs de réseau (gaz-électricité-RATP-etc);GRDF;0.87;Travaux sur réseau de gaz;EMPRISE_TROTTOIR;;873848;263000;"{""coordinates"": [[[2.369486142831566, 48.83309923984822], [2.369477921011102, 48.83309464300282], [2.3694681774215076, 48.83310187742181], [2.3694750137904323, 48.833106922944005], [2.369486142831566, 48.83309923984822]]], ""type"": ""Polygon""}";48.833100675765344, 2.36947691919157
EC403024;75006;2024-07-22;2024-12-20;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;122.07;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;STATIONNEMENT_PAYANT,ZONE_LIVRAISON;873792;262953;"{""coordinates"": [[[2.3215631192233053, 48.84685122246963], [2.321525624143182, 48.84687997199245], [2.3218385558553636, 48.847041855130854], [2.321873851608682, 48.84701236456532], [2.3215631192233053, 48.84685122246963]]], ""type"": ""Polygon""}";48.846946256609876, 2.321700053605982
EC403093;75007;2024-10-07;2024-11-09;Opérateurs de réseau (gaz-électricité-RATP-etc);FRAICHEUR DE PARIS;17.99;;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;873945;263081;"{""coordinates"": [[[2.3238661626308366, 48.859174896748556], [2.323932051970193, 48.85914965457285], [2.3239324360184, 48.85912005817506], [2.3238439784601206, 48.8591559875423], [2.3238661626308366, 48.859174896748556]]], ""type"": ""Polygon""}";48.8591493853481, 2.323893776090682
EC403202;75007;2024-09-16;2024-12-26;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;35.84;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;874021;263139;"{""coordinates"": [[[2.323175192245522, 48.8582140457437], [2.3231924376381436, 48.85821459835438], [2.323339426706631, 48.85805559575165], [2.323331536190771, 48.85802549656303], [2.3232876679994052, 48.85800248047894], [2.323252403583477, 48.85800774551896], [2.323252255728162, 48.858019128690366], [2.323277824628056, 48.858016541055065], [2.3233135125382116, 48.858031770155314], [2.3233186773571926, 48.85805912079879], [2.323175192245522, 48.8582140457437]]], ""type"": ""Polygon""}";48.85809519243403, 2.3232736259336426
EC403203;75007;2024-09-16;2024-10-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;5.86;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;874021;263139;"{""coordinates"": [[[2.3232256946591265, 48.85825759113331], [2.3232564899773345, 48.85822452342282], [2.323242776830988, 48.85821761528701], [2.3232092157683484, 48.85825112242444], [2.3232256946591265, 48.85825759113331]]], ""type"": ""Polygon""}";48.85823799472075, 2.323233209123788
